event_id,image_id,hls_tile,fire_name,fire_year,incid_type,split,burned_pixels,unburned_pixels,missing_pixels,burned_fraction,acquisition_date,chip_bounds
CA3867312307820200817,subsetted_512x512_HLS.S30.T10SDH.2020248.v1.4,10SDH,WALLBRIDGE,2020.0,Wildfire,training,207973,54167,4,0.7933661402304112,2020-09-04,"POLYGON ((-122.92449008569572 38.547258258458974, -122.92434482697423 38.68568169638705, -123.10095018378112 38.68566259783645, -123.10075635855038 38.547239253694805, -122.92449008569572 38.547258258458974))"
CA3831012199020180810,subsetted_512x512_HLS.S30.T10SEH.2018245.v1.4,10SEH,NELSON,2018.0,Wildfire,training,9909,252216,19,0.037802575107296135,2018-09-02,"POLYGON ((-121.91177455300647 38.24185763635336, -121.90970402477932 38.380263351815486, -122.08553918824671 38.38176693762329, -122.08727592041676 38.24335382086868, -121.91177455300647 38.24185763635336))"
CA3873012240020180908,subsetted_512x512_HLS.S30.T10SEH.2018280.v1.4,10SEH,SNELL,2018.0,Wildfire,training,11202,250942,0,0.04273223876953125,2018-10-07,"POLYGON ((-122.29454671492199 38.64599960062839, -122.29318486618297 38.78441027770553, -122.4700243597358 38.78534607859088, -122.47104553003727 38.64693081007475, -122.29454671492199 38.64599960062839))"
CA3879612276720191023,subsetted_512x512_HLS.S30.T10SEH.2019305.v1.4,10SEH,KINCADE,2019.0,Wildfire,training,200978,61154,12,0.7667053240352188,2019-11-01,"POLYGON ((-122.67978813295248 38.60821629088544, -122.67917079892631 38.74663623188153, -122.85592521658293 38.746987712352244, -122.85620244741413 38.60856604622744, -122.67978813295248 38.60821629088544))"
CA3847012204820200606,subsetted_512x512_HLS.S30.T10SEH.2020190.v1.4,10SEH,QUAIL,2020.0,Wildfire,training,8300,253814,30,0.031665611146295125,2020-07-08,"POLYGON ((-121.93064153762325 38.40451808828846, -121.9285950090493 38.54292081508949, -122.10482650769949 38.54440100871147, -122.10653653026705 38.405991005731735, -121.93064153762325 38.40451808828846))"
CA3855412253120200927,subsetted_512x512_HLS.S30.T10SEH.2020285.v1.4,10SEH,GLASS,2020.0,Wildfire,training,184297,77793,54,0.7031821130146133,2020-10-11,"POLYGON ((-122.45859232478792 38.468977943819056, -122.45755374489183 38.60739715149321, -122.63396235567153 38.60808192243065, -122.63466320238686 38.46965935003389, -122.45859232478792 38.468977943819056))"
CA3966012253020180609,subsetted_512x512_HLS.S30.T10SEJ.2018185.v1.4,10SEJ,CHROME,2018.0,Wildfire,training,10584,251560,0,0.040374755859375,2018-07-04,"POLYGON ((-122.47261700013377 39.55228548403944, -122.47156549369879 39.6906792242254, -122.65069980941156 39.69135623793227, -122.65139488720612 39.552959198292, -122.47261700013377 39.55228548403944))"
CA3919012180020180731,subsetted_512x512_HLS.S30.T10SEJ.2018220.v1.4,10SEJ,BUTTE FIRE,2018.0,Wildfire,training,4601,257543,0,0.017551422119140625,2018-08-08,"POLYGON ((-121.73895698767306 39.12846795716057, -121.73648046935057 39.26684402872929, -121.91450005622043 39.268639719559616, -121.91662783350306 39.130254871697076, -121.73895698767306 39.12846795716057))"
CA3892812226620190608,subsetted_512x512_HLS.S30.T10SEJ.2019185.v1.4,10SEJ,SAND,2019.0,Wildfire,training,11111,251033,0,0.042385101318359375,2019-07-04,"POLYGON ((-122.16859549654293 38.83522586681243, -122.16697963654619 38.973627950208176, -122.3442843235901 38.97475896098581, -122.34555632294573 38.83635133681979, -122.16859549654293 38.83522586681243))"
CA3612312160220200819,subsetted_512x512_HLS.S30.T10SFE.2020267.v1.4,10SFE,DOLAN,2020.0,Wildfire,training,248671,13464,9,0.9486371526122036,2020-09-23,"POLYGON ((-121.32594090658596 35.97147449650939, -121.32300753737442 36.10989907732525, -121.49360603182055 36.11216607308644, -121.49624128270555 35.97373007832096, -121.32594090658596 35.97147449650939))"
CA3686012078020180502,subsetted_512x512_HLS.S30.T10SFF.2018155.v1.4,10SFF,NEES,2018.0,Wildfire,training,8280,253864,0,0.031585693359375,2018-06-04,"POLYGON ((-120.7043027816388 36.77427121386841, -120.70016104661232 36.912624873032996, -120.8724691904061 36.915837209304065, -120.87630121131193 36.777467524879, -120.7043027816388 36.77427121386841))"
CA3641012100020180604,subsetted_512x512_HLS.S30.T10SFF.2018190.v1.4,10SFF,AIRLINE,2018.0,Wildfire,training,6638,255506,0,0.02532196044921875,2018-07-09,"POLYGON ((-120.87808546949597 36.32025457944452, -120.87431991603829 36.45863506278037, -121.04563723581961 36.46156439702917, -121.04909979812737 36.323169226817555, -120.87808546949597 36.32025457944452))"
CA3656312164020200816,subsetted_512x512_HLS.S30.T10SFF.2020250.v1.4,10SFF,RIVER,2020.0,Wildfire,training,160048,102096,0,0.61053466796875,2020-09-06,"POLYGON ((-121.4831636295344 36.41140889312657, -121.48046257490414 36.54983390072074, -121.65203520219991 36.5518972700609, -121.65443151661366 36.41346192433862, -121.4831636295344 36.41140889312657))"
CA3620712156020210618,subsetted_512x512_HLS.S30.T10SFF.2021189.v1.4,10SFF,WILLOW,2021.0,Wildfire,training,13899,248222,23,0.053025129615711826,2021-07-08,"POLYGON ((-121.46211070415147 36.137728341746254, -121.45939941822454 36.276158339458476, -121.6303696148941 36.278239028132745, -121.6327802552279 36.139798573746255, -121.46211070415147 36.137728341746254))"
CA3805012095020180629,subsetted_512x512_HLS.S30.T10SFH.2018185.v1.4,10SFH,WAVERLY,2018.0,Wildfire,training,53727,208417,0,0.20495223999023438,2018-07-04,"POLYGON ((-120.76457194028148 37.93500156344837, -120.76036608797224 38.073333785927275, -120.93536895621617 38.07653978640834, -120.93924675890914 37.938191749002605, -120.76457194028148 37.93500156344837))"
CA3852112120220200612,subsetted_512x512_HLS.S30.T10SFH.2020185.v1.4,10SFH,GRANT,2020.0,Wildfire,training,23305,238833,6,0.08890355461627082,2020-07-03,"POLYGON ((-121.06858624478105 38.496747515798546, -121.06487818763031 38.635093283221515, -121.24127088004724 38.637878813712746, -121.24464138043284 38.4995193690908, -121.06858624478105 38.496747515798546))"
