image_id,hls_tile,acquisition_date,chip_bounds,mtbs_id,fire_name,fire_year,intersection_area,intersection_ratio,burn_mask_overlap,temporal_gap_days,match_status,match_confidence,event_id
subsetted_512x512_HLS.S30.T10SDH.2020248.v1.4,10SDH,2020-09-04,"POLYGON ((-122.92449008569572 38.547258258458974, -122.92434482697423 38.68568169638705, -123.10095018378112 38.68566259783645, -123.10075635855038 38.547239253694805, -122.92449008569572 38.547258258458974))",CA3867312307820200817,WALLBRIDGE,2020.0,187332353.42684713,0.7933833335561262,1.0,18.0,matched,0.8966916667780631,CA3867312307820200817
subsetted_512x512_HLS.S30.T10SEH.2018245.v1.4,10SEH,2018-09-02,"POLYGON ((-121.91177455300647 38.24185763635336, -121.90970402477932 38.380263351815486, -122.08553918824671 38.38176693762329, -122.08727592041676 38.24335382086868, -121.91177455300647 38.24185763635336))",CA3831012199020180810,NELSON,2018.0,8924233.710770233,0.03780273572940513,1.0,23.0,matched,0.5189013678647025,CA3831012199020180810
subsetted_512x512_HLS.S30.T10SEH.2018280.v1.4,10SEH,2018-10-07,"POLYGON ((-122.29454671492199 38.64599960062839, -122.29318486618297 38.78441027770553, -122.4700243597358 38.78534607859088, -122.47104553003727 38.64693081007475, -122.29454671492199 38.64599960062839))",CA3873012240020180908,SNELL,2018.0,10086190.729050077,0.04271971167039185,1.0,29.0,matched,0.521359855835196,CA3873012240020180908
subsetted_512x512_HLS.S30.T10SEH.2019305.v1.4,10SEH,2019-11-01,"POLYGON ((-122.67978813295248 38.60821629088544, -122.67917079892631 38.74663623188153, -122.85592521658293 38.746987712352244, -122.85620244741413 38.60856604622744, -122.67978813295248 38.60821629088544))",CA3879612276720191023,KINCADE,2019.0,181024606.39981315,0.7666766706508537,1.0,9.0,matched,0.8833383353254268,CA3879612276720191023
subsetted_512x512_HLS.S30.T10SEH.2020190.v1.4,10SEH,2020-07-08,"POLYGON ((-121.93064153762325 38.40451808828846, -121.9285950090493 38.54292081508949, -122.10482650769949 38.54440100871147, -122.10653653026705 38.405991005731735, -121.93064153762325 38.40451808828846))",CA3847012204820200606,QUAIL,2020.0,7462373.6787706725,0.03161009746255579,1.0,32.0,matched,0.5158050487312779,CA3847012204820200606
subsetted_512x512_HLS.S30.T10SEH.2020285.v1.4,10SEH,2020-10-11,"POLYGON ((-122.45859232478792 38.468977943819056, -122.45755374489183 38.60739715149321, -122.63396235567153 38.60808192243065, -122.63466320238686 38.46965935003389, -122.45859232478792 38.468977943819056))",CA3855412253120200927,GLASS,2020.0,166013609.29111958,0.7031220231861601,1.0,14.0,matched,0.8515610115930801,CA3855412253120200927
subsetted_512x512_HLS.S30.T10SEJ.2018185.v1.4,10SEJ,2018-07-04,"POLYGON ((-122.47261700013377 39.55228548403944, -122.47156549369879 39.6906792242254, -122.65069980941156 39.69135623793227, -122.65139488720612 39.552959198292, -122.47261700013377 39.55228548403944))",CA3966012253020180609,CHROME,2018.0,9535460.605773786,0.04038565053444199,1.0,25.0,matched,0.520192825267221,CA3966012253020180609
subsetted_512x512_HLS.S30.T10SEJ.2018220.v1.4,10SEJ,2018-08-08,"POLYGON ((-121.73895698767306 39.12846795716057, -121.73648046935057 39.26684402872929, -121.91450005622043 39.268639719559616, -121.91662783350306 39.130254871697076, -121.73895698767306 39.12846795716057))",CA3919012180020180731,BUTTE FIRE,2018.0,4141239.1587643735,0.017543264145303016,1.0,8.0,matched,0.5087716320726515,CA3919012180020180731
subsetted_512x512_HLS.S30.T10SEJ.2019185.v1.4,10SEJ,2019-07-04,"POLYGON ((-122.16859549654293 38.83522586681243, -122.16697963654619 38.973627950208176, -122.3442843235901 38.97475896098581, -122.34555632294573 38.83635133681979, -122.16859549654293 38.83522586681243))",CA3892812226620190608,SAND,2019.0,10011533.776555993,0.042404834138512267,1.0,26.0,matched,0.5212024170692562,CA3892812226620190608
subsetted_512x512_HLS.S30.T10SFE.2020267.v1.4,10SFE,2020-09-23,"POLYGON ((-121.32594090658596 35.97147449650939, -121.32300753737442 36.10989907732525, -121.49360603182055 36.11216607308644, -121.49624128270555 35.97373007832096, -121.32594090658596 35.97147449650939))",CA3612312160220200819,DOLAN,2020.0,223870167.11431876,0.9486068044203525,1.0,35.0,matched,0.9743034022101762,CA3612312160220200819
